College code,College Name,District ID
1122,Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous),10
2744,Adithya Institute of Technology,14
4020,Anna University Regional Campus - Tirunelveli,16
1114,S A Engineering College (Autonomous),10
1310,Misrimal Navajee Munoth Jain Engineering College,10
5010,Anna University Regional Campus - Madurai,32
2673,Sree Sakthi Engineering College,14
3011,University College of Engineering,24
1307,Jerusalem College of Engineering (Autonomous),10
2722,Sri Krishna College of Technology (Autonomous),14
1217,Sree Sastha Institute of Engineering and Technology,10
1414,Prince Shri Venkateshwara  Padmavathy Enginering College,10
2739,Sri Eshwar College of Engineering (Autonomous),14
1424,Dhaanish Ahmed College of Engineering,10
1509,Meenakshi College of Engineering,10
2711,Kongu Engineering College (Autonomous),17
1225,Loyola Institute of Technology,10
1128,R M K College of Engineering and Technology (Autonomous),1
2369,Government College of Engineering,7
3465,Government College of Engineering,24
1413,Sri Venkateswaraa College of Technology,27
1516,Thanthai Periyar Government Institute of Technology,20
1420,Tagore Engineering College,10
1101,Aalim Muhammed Salegh College of Engineering,10
1322,Dhanalakshmi Srinivasan College of Engineering and Technology,10
1218,Sri Muthukumaran Institute of Technology,10
1431,New Prince Shri Bhavani College of Engineering and Technology,10
1452,PERI Institute of Technology,10
1442,Prince Dr. K Vasudevan College of Engineering and Technology,10
1228,Alpha College of Engineering,10
1127,St. Peters College of Engineering and Technology,10
1405,Dhanalakshmi College of  Engineering,10
1447,Jawahar Engineering College,10
2709,Government Engineering College (Formerly Institute of Road and Transport Technology),17
2603,Government College of Engineering (Autonomous),21
2025,Anna University Regional Campus - Coimbatore,14
1202,D M I College of Engineering,10
1112,R M D Engineering College (Autonomous),1
5901,Alagappa Chettair Government College of Engineering and Technology (Autonomous),15
1426,Sri Ramanujar Engineering College,10
2615,Government College of Engineering (Autonomous),2
1407,G K M College of  Engineering and Technology,10
1437,Rrase College of Engineering,10
1335,Sri Krishna Institute of Technology,10
1106,Jaya Engineering College,10
1411,Madha Engineering College,10
1427,Sri Krishna Engineering College,10
1319,Thangavelu Engineering College,10
2005,Government College of Technology (Autonomous),14
2377,PSG Institute of Technology and Applied Research,14
1123,Gojan School of Business and Technology,10
1221,Jaya College of Engineering and Technology,10
1416,Jaya Sakthi Engineering College,10
1315,Sri Sivasubramaniya Nadar College of Engineering (Autonomous),29
5012,Central Electrochemical Research Institute CECRI),15
1133,Annai Veilankannis College of Engineering,10
1205,Lord Venkateshwara Engineering College,27
1125,PMR Engineering College,10
2367,Arjun College of Technology,14
1333,Vi Institute of Technology,29
4979,V.P.Muthaiah Pillai Meenakshi Ammal Engineering College for Women,30
1243,Madha Institute of Engineering and Technology,10
4938,Sivaji College of Engineering and Technology,11
1526,Sri Krishna College of Engineering,25
2332,Aishwarya College of Engineering and Technology,17
2355,Cheran College of Engineering,39
2356,Arulmurugan College of Engineering,39
4943,Satyam College of Engineering and Technology,11
4927,Maria College of Engineering and Technology,11
1444,Chendu College of Engineering & Technology,29
1222,P B College of Engineering,27
1511,Ranipettai Engineering College,25
4956,Jayamatha Engineering College,11
2717,Sasurie College of Engineering,22
4992,Bethlahem Institute of Engineering,11
3802,Shri Angalamman College of Engineering and Technology,24
1209,Pallavan College of Engineering,27
5720,Sri Subramanya College of Engineering and Technology,28
2652,Al-Ameen Engineering College (Autonomous),17
2346,Shree Sathyam College of Engineering and Technology,2
2770,Study World College of Engineering,14
5533,Karaikudi Institute of Technology & Karaikudi Institute of Management,15
4983,Lord Jegannath College of Engineering and Technology,11
3849,Annai College of Engineering and Technology,4
3855,As-Salam College of Engineering and Technology,4
1529,Oxford College of Engineering,18
1423,Asan Memorial College of Engineering and Technology,29
2658,V S A Group of Institutions,2
4995,P.S.R.R College of Engineering (Formerly P S R Rengasamy College of Engineering for Women),30
4961,Nellai College of Engineering (Formerly National College of Engineering),16
2640,Jayalakshmi Institute of Technology,7
4976,Infant Jesus College of Engineering,26
5842,Madurai Institute of Engineering & Technology,15
4686,Good Shepherd College of Engineering and Technology,11
3857,Meenakshi Ramaswamy Engineering College,12
2633,Vidhya Vikkas College of Engineering and Technology,9
3808,Jayaram College of Engineering and Technology,24
3844,Shivani Engineering College,24
4945,Vins Christian Womens College of Engineering,11
4948,Rajas Institute of Technology,11
4929,M E T Engineering College,11
4941,Unnamalai Institute of Technology,26
4677,Lourdes Mount College of Engineering and Technology,11
3850,Vetri Vinayaha College of Engineering and Technology,24
3846,Mother Terasa College of Engineering and Technology,13
2635,C M S College of Engineering,9
1524,Annamalaiar College of Engineering,18
5924,Ganapathy Chettiar College of Engineering and Technology,37
1438,Sree Krishna College of Engineering,20
1449,Saraswathy College of Engineering and Technology,6
3848,Vandayar Engineering College,4
2341,Ganesh College of Engineering,2
3822,Dr.Navalur Nedunchezhiyan College of Engineering,31
4968,Sardar Raja College of Engineering,36
3809,Kurinji College of Engineering and Technology,24
4977,Narayanaguru College of Engineering,11
3926,Chendhuran College of Engineering and Technology,13
1235,JEI Mathaajee College of Engineering,27
2733,Angel College of Engineering and Technology,22
1435,Jagannath Institute of Technology,27
3854,Mahath Amma Institute of Engineering and Technology (MIET),13
3460,Sureya College of Engineering,24
1445,Sri Rangapoopathi College of Engineering,6
3766,Star Lion College of Engineering & Technology,4
2612,P G P College of Engineering and Technology,9
2350,Jairupaa College of Engineering,22
1107,Jaya Institute of Technology,1
4937,A.R College of Engineering and Technology,16
1150,Sri Jayaram Institute of Engineering and Technology,1
1318,T.J INSTITUTE OF TECHNOLOGY,10
1158,International Maritime Academy,10
